Family,Category,SuggestedName,Conflict,ProblemReasons
"Rectangular Mullion","Curtain Wall Mullions","MHT-ME-FAM-Rectangular-Mullion","",""
"Circular Mullion","Curtain Wall Mullions","MHT-ME-FAM-Circular-Mullion","",""
"System Panel","Curtain Panels","MHT-ME-FAM-System-Panel-Autodesk-Revit-Db-Paneltype-Object-At-0X00000000000009F2-Autodesk-Revit-Db-Paneltype","",""
"Empty System Panel","Curtain Panels","MHT-ME-FAM-Empty-System-Panel","",""
"L Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-L-Corner-Mullion","",""
"V Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-V-Corner-Mullion","",""
"Trapezoid Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-Trapezoid-Corner-Mullion","",""
"Quad Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-Quad-Corner-Mullion","",""
"Brick - UK Standard","Detail Items","MHT-ME-FAM-Brick-Uk-Standard-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000009F3-Autodesk-Revit-Db-Familysymbol","",""
"M_Callout Head","Callout Heads","MHT-ME-FAM-M-Callout-Head-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000009F4-Autodesk-Revit-Db-Familysymbol","",""
"M_Grid Head - Circle","Grid Heads","MHT-ME-FAM-M-Grid-Head-Circle-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000009F5-Autodesk-Revit-Db-Familysymbol","",""
"M_Level Head - Circle","Level Heads","MHT-ME-FAM-M-Level-Head-Circle-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000009F6-Autodesk-Revit-Db-Familysymbol","",""
"M_Section Head - Filled","Section Marks","MHT-ME-FAM-M-Section-Head-Filled-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000009F7-Autodesk-Revit-Db-Familysymbol","",""
"M_Section Head - No Arrow","Section Marks","MHT-ME-FAM-M-Section-Head-No-Arrow-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000009F8-Autodesk-Revit-Db-Familysymbol","",""
"M_Section Tail - Filled","Section Marks","MHT-ME-FAM-M-Section-Tail-Filled-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000009F9-Autodesk-Revit-Db-Familysymbol","",""
"M_Section Tail - Filled Horizontal","Section Marks","MHT-ME-FAM-M-Section-Tail-Filled-Horizontal-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000009Fa-Autodesk-Revit-Db-Familysymbol","",""
"M_View Title","View Titles","MHT-ME-FAM-M-View-Title-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000009Fb-Autodesk-Revit-Db-Familysymbol","",""
"M_Fascia-Flat","Profiles","MHT-ME-FAM-M-Fascia-Flat-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000009Fc-Autodesk-Revit-Db-Familysymbol","",""
"M_Gutter - Bevel","Profiles","MHT-ME-FAM-M-Gutter-Bevel-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000009Fd-Autodesk-Revit-Db-Familysymbol","",""
"M_Slab Edge-Thickened","Profiles","MHT-ME-FAM-M-Slab-Edge-Thickened-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000009Fe-Autodesk-Revit-Db-Familysymbol","",""
"M_Duct Size Tag","Duct Tags","MHT-ME-DF-M-Duct-Size-Tag","","missing_shape;missing_fitting;missing_size"
"M_Rectangular Duct Cross","Duct Fittings","MHT-ME-DF-Rect-Press-DN350","",""
"M_Rectangular Duct Endcap","Duct Fittings","MHT-ME-DF-Rect-Endcap-DN250","",""
"M_Rectangular Duct Elbow - Mitered","Duct Fittings","MHT-ME-DF-Rect-Elbow-DN450","",""
"M_Rectangular Duct Tee","Duct Fittings","MHT-ME-DF-Rect-Tee-DN425","",""
"M_Rectangular Duct Union","Duct Fittings","MHT-ME-DF-Rect-Union-DN750","",""
"M_Round Duct Cross","Duct Fittings","MHT-ME-DF-M-Round-Duct-Cross","","missing_shape;missing_fitting;missing_size"
"M_Round Duct Tee","Duct Fittings","MHT-ME-DF-M-Round-Duct-Tee","","missing_shape;missing_fitting"
"M_Round Duct Union","Duct Fittings","MHT-ME-DF-M-Round-Duct-Union","","missing_shape;missing_fitting"
"M_Pipe Cross","Pipe Fittings","MHT-ME-FAM-M-Pipe-Cross-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000000A08-Autodesk-Revit-Db-Familysymbol","",""
"M_Pipe Straight Coupling","Pipe Fittings","MHT-ME-FAM-M-Pipe-Straight-Coupling-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000000A09-Autodesk-Revit-Db-Familysymbol","",""
"M_Sprinkler - Pendent - Hosted","Sprinklers","MHT-ME-FAM-M-Sprinkler-Pendent-Hosted-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000000A0A-Autodesk-Revit-Db-Familysymbol","",""
"M_Lighting Switches","Lighting Devices","MHT-EL-LD-M-Lighting-Switches-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000000A0B-Autodesk-Revit-Db-Familysymbol","",""
"M_Round Duct Elbow","Duct Fittings","MHT-ME-DF-M-Round-Duct-Elbow","","missing_shape;missing_fitting"
"M_Space Tag","Space Tags","MHT-ME-FAM-M-Space-Tag-Autodesk-Revit-Db-Mechanical-Spacetagtype-Object-At-0X0000000000000A0D-Autodesk-Revit-Db-Mechanical-Spacetagtype","",""
"M_Zone Tag","Zone Tags","MHT-ME-FAM-M-Zone-Tag-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000000A0E-Autodesk-Revit-Db-Familysymbol","",""
"M_Wire Tag","Wire Tags","MHT-ME-FAM-M-Wire-Tag-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000000A0F-Autodesk-Revit-Db-Familysymbol","",""
"M_Rectangular Duct Takeoff","Duct Fittings","MHT-ME-DF-Rect-Takeoff-DN450","",""
"M_Round Duct Takeoff","Duct Fittings","MHT-ME-DF-Round-Takeoff-DN250","",""
"M_Rectangular Duct Transition - Angle","Duct Fittings","MHT-ME-DF-Rect-Transition-DN450","",""
"M_Round Duct Transition - Angle","Duct Fittings","MHT-ME-DF-Round-Transition-DN250-DN250","",""
"M_Rectangular to Round Duct Transition - Angle","Duct Fittings","MHT-ME-DF-Round-Transition-DN250","",""
"M_Plain Recessed Lighting Fixture","Lighting Fixtures","MHT-EL-LF-Lighting-Fixture-UND","",""
"M_Water Closet - Flush Valve - Wall Mounted","Plumbing Fixtures","MHT-PL-PF-Plumbing-Fixture-UND","",""
"M_Return Diffuser","Air Terminals","MHT-ME-AT-RETURN-DN300","","missing_shape"
"M_Exhaust Grill","Air Terminals","MHT-ME-AT-EXHAUST-DN300","","missing_shape"
"M_Pipe Elbow","Pipe Fittings","MHT-ME-FAM-M-Pipe-Elbow-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000000A19-Autodesk-Revit-Db-Familysymbol","",""
"M_Pipe Tee","Pipe Fittings","MHT-ME-FAM-M-Pipe-Tee-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000000A1A-Autodesk-Revit-Db-Familysymbol","",""
"M_Pipe Transition","Pipe Fittings","MHT-ME-FAM-M-Pipe-Transition-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000000A1B-Autodesk-Revit-Db-Familysymbol","",""
"M_Supply Diffuser - Rectangular Face Round Neck","Air Terminals","MHT-ME-AT-SUPPLY-DN250","",""
"M_WSHP - Horizontal - High Efficiency - 7-18 kW - Right Return - Back Discharge","Mechanical Equipment","MHT-ME-MEQ-Pump-UND","",""
"M_Supply Diffuser - Sidewall","Air Terminals","MHT-ME-AT-SUPPLY-DN450","","missing_shape"
"M_WSHP - Horizontal - High Efficiency - 7-18 kW - Left Return - Right Discharge","Mechanical Equipment","MHT-ME-MEQ-Pump-DN450-UND","",""
"M_Return Grille - Rectangular - Hosted","Air Terminals","MHT-ME-AT-RETURN-DN400","",""
"M_WSHP - Horizontal - High Efficiency - 7-18 kW - Left Return - Back Discharge","Mechanical Equipment","MHT-ME-MEQ-Pump-UND-UND","",""
"M_Pendant Light - Disk","Lighting Fixtures","MHT-EL-LF-Lighting-Fixture-DN328084-UND","",""
"M_Sconce Light - Flat Round","Lighting Fixtures","MHT-EL-LF-Lighting-Fixture-DN196850-UND","",""
"M_Pendant Light - Linear - 2 Lamp","Lighting Fixtures","MHT-EL-LF-Lighting-Fixture-DN492126-UND","",""
"M_Lighting and Appliance Panelboard - 480V MLO - Surface","Electrical Equipment","MHT-EL-EE-Electrical-Equipment-UND","",""
"M_Lighting and Appliance Panelboard - 208V MLO - Surface","Electrical Equipment","MHT-EL-EE-Electrical-Equipment-DN1270-UND","",""
"M_Outdoor AHU - Horizontal","Mechanical Equipment","MHT-ME-MEQ-Pump-DN2642-UND","",""
"M_Diffuser Tag","Air Terminal Tags","MHT-ME-FAM-M-Diffuser-Tag-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000000A31-Autodesk-Revit-Db-Familysymbol","","missing_system;missing_size;missing_shape"
"M_Mechanical Equipment Tag","Mechanical Equipment Tags","MHT-ME-FAM-M-Mechanical-Equipment-Tag-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000000A32-Autodesk-Revit-Db-Familysymbol","",""
"M_Lighting Fixture Circuit Tag","Lighting Fixture Tags","MHT-ME-FAM-M-Lighting-Fixture-Circuit-Tag-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000000A33-Autodesk-Revit-Db-Familysymbol","",""
"M_Electrical Equipment Tag","Electrical Equipment Tags","MHT-ME-FAM-M-Electrical-Equipment-Tag-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000000A34-Autodesk-Revit-Db-Familysymbol","",""
"M_Centrifugal Fan -  Rooftop  - Upblast","Mechanical Equipment","MHT-ME-MEQ-Pump-DN4101050-UND","",""
"Exhaust Grille - Rectangular - Hosted - Horizontal","Air Terminals","MHT-ME-AT-EXHAUST-DN450","",""
