Family,Category,SuggestedName,Conflict,ProblemReasons
"MHT-ME-FAM-Curtain Panels","Curtain Panels","MHT-ME-FAM-Mht-Me-Fam-Curtain-Panels-Autodesk-Revit-Db-Paneltype-Object-At-0X0000000000005Cef-Autodesk-Revit-Db-Paneltype","",""
"MHT-ME-FAM-Curtain Wall Mullions","Curtain Wall Mullions","MHT-ME-FAM-Mht-Me-Fam-Curtain-Wall-Mullions-Autodesk-Revit-Db-Mulliontype-Object-At-0X0000000000005Cf0-Autodesk-Revit-Db-Mulliontype","",""
"MHT-ME-FAM-Circular Mullion","Curtain Wall Mullions","MHT-ME-FAM-Mht-Me-Fam-Circular-Mullion-Autodesk-Revit-Db-Mulliontype-Object-At-0X0000000000005Cf1-Autodesk-Revit-Db-Mulliontype","",""
"MHT-ME-FAM-L Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-Mht-Me-Fam-L-Corner-Mullion-Autodesk-Revit-Db-Mulliontype-Object-At-0X0000000000005Cf2-Autodesk-Revit-Db-Mulliontype","",""
"MHT-ME-FAM-V Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-Mht-Me-Fam-V-Corner-Mullion-Autodesk-Revit-Db-Mulliontype-Object-At-0X0000000000005Cf3-Autodesk-Revit-Db-Mulliontype","",""
"MHT-ME-FAM-Trapezoid Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-Mht-Me-Fam-Trapezoid-Corner-Mullion-Autodesk-Revit-Db-Mulliontype-Object-At-0X0000000000005Cf4-Autodesk-Revit-Db-Mulliontype","",""
"MHT-ME-FAM-Quad Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-Mht-Me-Fam-Quad-Corner-Mullion-Autodesk-Revit-Db-Mulliontype-Object-At-0X0000000000005Cf5-Autodesk-Revit-Db-Mulliontype","",""
"MHT-ME-FAM-Section Marks","Section Marks","MHT-ME-FAM-Mht-Me-Fam-Section-Marks-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005Cf6-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Level Heads","Level Heads","MHT-ME-FAM-Mht-Me-Fam-Level-Heads-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005Cf7-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-SectionHead","Section Marks","MHT-ME-FAM-Mht-Me-Fam-Sectionhead-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005Cf8-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Callout Heads","Callout Heads","MHT-ME-FAM-Mht-Me-Fam-Callout-Heads-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005Cf9-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Detail Items","Detail Items","MHT-ME-FAM-Mht-Me-Fam-Detail-Items-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005Cfa-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-View Reference","View Reference","MHT-ME-FAM-Mht-Me-Fam-View-Reference-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005Cfd-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Generic Annotations","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Generic-Annotations-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X0000000000005Cfe-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Arrow-01","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Arrow-01-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X0000000000005Cff-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Callout Head","Callout Heads","MHT-ME-FAM-Mht-Me-Fam-Callout-Head-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005D00-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-View Titles","View Titles","MHT-ME-FAM-Mht-Me-Fam-View-Titles-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005D01-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Logo-Meinhardt-50mm","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Logo-Meinhardt-50Mm-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X0000000000005D02-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Logo-Meinhardt-120mm","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Logo-Meinhardt-120Mm-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X0000000000005D03-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Level Head-Target RL","Level Heads","MHT-ME-FAM-Mht-Me-Fam-Level-Head-Target-Rl-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005D04-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Level Head-Triangle RL Multi","Level Heads","MHT-ME-FAM-Mht-Me-Fam-Level-Head-Triangle-Rl-Multi-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005D05-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Grid Heads","Grid Heads","MHT-ME-FAM-Mht-Me-Fam-Grid-Heads-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005D07-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-DF-Duct Fittings","Duct Fittings","MHT-ME-DF-Tee-Tee-DN500","",""
"MHT-ME-DF-Rectangular Short Radius Bend - Flanged","Duct Fittings","MHT-ME-DF-Rect-Tee-ShortRad-DN2000","",""
"MHT-ME-DF-Rectangular Square Bend - Flanged","Duct Fittings","MHT-ME-DF-Rect-Tee-Sr-DN2400","",""
"MHT-ME-DF-Rectangular Shoe Branch - Flanged","Duct Fittings","MHT-ME-DF-Rect-Tee-Flanged-DN250-DN250","",""
"MHT-ME-DF-Rectangular Square Branch - Flanged","Duct Fittings","MHT-ME-DF-Rect-Tee-Flanged-DN250","",""
"MHT-ME-DF-Rectangular transition","Duct Fittings","MHT-ME-DF-Rect-Tee-DN600","",""
"MHT-ME-DF-Spigot","Duct Fittings","MHT-ME-DF-Mht-Me-Df-Spigot","","missing_shape;missing_fitting"
"MHT-ME-FAM-Level Head - Circle","Level Heads","MHT-ME-FAM-Mht-Me-Fam-Level-Head-Circle-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005D0F-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-DF-Round Union-01","Duct Fittings","MHT-ME-DF-Mht-Me-Df-Round-Union-01","","missing_shape;missing_fitting"
"MHT-ME-DF-Round Pressed Equal Tee - Slip Joint","Duct Fittings","MHT-ME-DF-Mht-Me-Df-Round-Pressed-Equal-Tee-Slip-Joint","","missing_shape;missing_fitting"
"MHT-ME-DF-Round Taper - Slip Joint","Duct Fittings","MHT-ME-DF-Mht-Me-Df-Round-Taper-Slip-Joint","","missing_shape;missing_fitting"
"MHT-ME-DF-Rectangular - Oval Transformation - Slip Joint","Duct Fittings","MHT-ME-DF-Mht-Me-Df-Rectangular-Oval-Transformation-Slip-Joint","","missing_shape;missing_fitting;missing_size"
"MHT-ME-DF-Rectangular - Round Transformation - Flanged","Duct Fittings","MHT-ME-DF-Mht-Me-Df-Rectangular-Round-Transformation-Flanged","","missing_shape;missing_fitting;missing_size"
"MHT-ME-DF-Rectangular Union-01","Duct Fittings","MHT-ME-DF-Rect-Tee-DN5000","",""
"MHT-ME-DF-Rectangular - Oval Transformation - Flanged-01","Duct Fittings","MHT-ME-DF-Mht-Me-Df-Rectangular-Oval-Transformation-Flanged-01","","missing_shape;missing_fitting;missing_size"
"MHT-ME-FAM-Pipe Fittings","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Pipe-Fittings-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005D18-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Coupling - Soldered - CU","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Coupling-Soldered-Cu-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005D19-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Cross - Soldered - CU","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Cross-Soldered-Cu-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005D1A-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Reducer Straight - Soldered - CU","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Reducer-Straight-Soldered-Cu-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005D1B-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Stop End - Soldered - CU","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Stop-End-Soldered-Cu-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005D1C-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Cap - Plain - PVC-C1","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Cap-Plain-Pvc-C1-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005D1D-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Cross - Plain - PVC-C2","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Cross-Plain-Pvc-C2-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005D1E-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Socket - Plain - PVC-C2","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Socket-Plain-Pvc-C2-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005D1F-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Elbow - Plain - PVC-C2","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Elbow-Plain-Pvc-C2-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005D20-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Tee - Plain - PVC-C2","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Tee-Plain-Pvc-C2-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005D21-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Tee - Soldered - CU2","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Tee-Soldered-Cu2-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005D22-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Elbow - Soldered - CU2","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Elbow-Soldered-Cu2-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005D23-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-DF-Rectangular Long Radius Bend - Flanged","Duct Fittings","MHT-ME-DF-Rect-Tee-LongRad-DN2400","",""
"MHT-ME-DF-Rectangular Eccentric Taper - Flanged-01","Duct Fittings","MHT-ME-DF-Rect-Tee-Flanged-DN3000","",""
"MHT-ME-FAM-Title Blocks","Title Blocks","MHT-ME-FAM-Mht-Me-Fam-Title-Blocks-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005D26-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Notes-VL","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Notes-Vl-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X0000000000005D27-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Info-Key-Plan-Large1","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Info-Key-Plan-Large1-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X0000000000005D28-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-GridHead","Grid Heads","MHT-ME-FAM-Mht-Me-Fam-Gridhead-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005D29-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Motorised 2-Way Valve Symbol","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Motorised-2-Way-Valve-Symbol-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X0000000000005D2A-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Meter Symbol","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Meter-Symbol-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X0000000000005D2B-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Pipe Break Symbol","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Pipe-Break-Symbol-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X0000000000005D2C-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-DIFFERENTIALPRESSUREGAUGE","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Differentialpressuregauge-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X0000000000005D2D-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-BYPASSVALVE","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Bypassvalve-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X0000000000005D2E-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Pressure Relief Valve Symbol","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Pressure-Relief-Valve-Symbol-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X0000000000005D2F-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Motorised 3-Way Valve Symbol","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Motorised-3-Way-Valve-Symbol-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X0000000000005D30-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Tundish","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Tundish-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X0000000000005D31-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Union","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Union-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X0000000000005D32-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Ballfloatvalve","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Ballfloatvalve-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X0000000000005D33-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Draincock","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Draincock-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X0000000000005D34-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-NC","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Nc-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X0000000000005D35-Autodesk-Revit-Db-Annotationsymboltype","",""
