Family,Category,SuggestedName,Conflict,ProblemReasons
"System Panel","Curtain Panels","MHT-ME-FAM-System-Panel","",""
"Rectangular Mullion","Curtain Wall Mullions","MHT-ME-FAM-Rectangular-Mullion","",""
"Circular Mullion","Curtain Wall Mullions","MHT-ME-FAM-Circular-Mullion","",""
"L Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-Corner-Mullion-01","DUP",""
"V Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-Corner-Mullion-02","DUP",""
"Trapezoid Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-Trapezoid-Corner-Mullion","",""
"Quad Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-Quad-Corner-Mullion","",""
"Section Tail - Filled Horizontal","Section Marks","MHT-ME-FAM-Section-Tail-Filled-Horizontal","",""
"Stair Nosing - Pan","Profiles","MHT-ME-FAM-Stair-Nosing-Pan","",""
"Slab Edge-Thickened","Profiles","MHT-ME-FAM-Slab-Edge-Thickened","",""
"Rectangular Handrail","Profiles","MHT-ME-FAM-Rectangular-Handrail","",""
"Gutter Profile-Bevel","Profiles","MHT-ME-FAM-Gutter-Profile-Bevel","",""
"Fascia-Flat","Profiles","MHT-ME-FAM-Scia-Flat","",""
"Brick Standard","Detail Items","MHT-ME-FAM-Brick-Standard","",""
"View Title","View Titles","MHT-ME-FAM-View-Title","",""
"Section Tail - Filled","Section Marks","MHT-ME-FAM-Section-Tail-Filled","",""
"Section Head - no arrow","Section Marks","MHT-ME-FAM-Section-Head-No-Arrow","",""
"Section Head - Filled","Section Marks","MHT-ME-FAM-Section-Head-Filled","",""
"Level Head - Circle","Level Heads","MHT-ME-FAM-Level-Head-Circle","",""
"Callout Head","Callout Heads","MHT-ME-FAM-Callout-Head","",""
"Spot Elevation - Target Filled","Spot Elevation Symbols","MHT-ME-FAM-Spot-Elevation-Target-Filled","",""
"Long Wire Tick Mark","Wire Tick Marks","MHT-ME-FAM-Long-Wire-Tick-Mark","",""
"Baluster - Square","Balusters","MHT-ME-FAM-Baluster-Square","",""
"Flex Duct Tag Round","Flex Duct Tags","MHT-ME-DF-Flex-Duct-Tag-Round","","missing_shape;missing_fitting;missing_size"
"Duct Size Tag","Duct Tags","MHT-ME-DF-Duct-Size-Tag","","missing_shape;missing_fitting;missing_size"
"View Reference","View Reference","MHT-ME-FAM-View-Reference","",""
"Elevation Mark Body_Square","Elevation Marks","MHT-ME-FAM-Evation-Mark-Body-Square","",""
"Elevation Mark Pointer_Square","Elevation Marks","MHT-ME-FAM-Evation-Mark-Pointer-Square","",""
"Space Tag","Space Tags","MHT-ME-FAM-Space-Tag","",""
"Mechanical Equipment Tag","Mechanical Equipment Tags","MHT-ME-FAM-Uipment-Tag","",""
"Channel Horizontal Cross","Cable Tray Fittings","MHT-ME-FAM-Horizontal-Cross","",""
"Channel Horizontal Tee","Cable Tray Fittings","MHT-ME-FAM-Horizontal-Tee","",""
"Channel Reducer","Cable Tray Fittings","MHT-ME-FAM-Reducer","",""
"Channel Union","Cable Tray Fittings","MHT-ME-FAM-Union","",""
"Channel Vertical Inside Bend","Cable Tray Fittings","MHT-ME-FAM-Vertical-Inside-Bend","",""
"Channel Vertical Outside Bend","Cable Tray Fittings","MHT-ME-FAM-Vertical-Outside-Bend","",""
"Channel Horizontal Bend","Cable Tray Fittings","MHT-ME-FAM-Horizontal-Bend","",""
"Conduit Junction Box - Transition - PVC","Conduit Fittings","MHT-EL-CF-Nduit-Junction-Box-Transition-PVC","",""
"Conduit Coupling - PVC","Conduit Fittings","MHT-EL-CF-Nduit-Coupling-PVC","",""
"Conduit Elbow - without Fittings - RNC","Conduit Fittings","MHT-EL-CF-Nduit-Elbow-Without-Fittings-RNC","",""
"Conduit Junction Box - Cross - PVC","Conduit Fittings","MHT-EL-CF-Nduit-Junction-Box-Cross-PVC","",""
"Conduit Junction Box - Tee - PVC","Conduit Fittings","MHT-EL-CF-Nduit-Junction-Box-Tee-PVC","",""
"Conduit Elbow - Plain End - PVC","Conduit Fittings","MHT-EL-CF-Nduit-Elbow-Plain-End-PVC","",""
"Round Union","Duct Fittings","MHT-ME-DF-Round-Union","","missing_shape;missing_fitting"
"Oval Cross - Straight","Duct Fittings","MHT-ME-DF-Oval-Cross-Straight","","missing_shape;missing_fitting;missing_size"
"Oval Elbow - Mitered","Duct Fittings","MHT-ME-DF-Oval-Elbow-Mitered","","missing_shape;missing_fitting"
"Oval Tap - Straight","Duct Fittings","MHT-ME-DF-Oval-Tap-Straight","","missing_shape;missing_fitting;missing_size"
"Oval Tee - Straight","Duct Fittings","MHT-ME-DF-Oval-Tee-Straight","","missing_shape;missing_fitting"
"Oval to Round Transition - Length","Duct Fittings","MHT-ME-DF-Oval-To-Round-Transition-Length","","missing_shape;missing_fitting"
"Oval Transition - Length","Duct Fittings","MHT-ME-DF-Oval-Transition-Length","","missing_shape;missing_fitting"
"Oval Union","Duct Fittings","MHT-ME-DF-Oval-Union","","missing_shape;missing_fitting"
"Rectangular Cross","Duct Fittings","MHT-ME-DF-Rectangular-Cross","","missing_shape;missing_fitting;missing_size"
"Rectangular Elbow - Mitered","Duct Fittings","MHT-ME-DF-Rect-Elbow-DN102","",""
"Rectangular Endcap","Duct Fittings","MHT-ME-DF-Rect-Endcap-DN356","",""
"Rectangular Tee","Duct Fittings","MHT-ME-DF-Rect-Tee-DN203","",""
"Rectangular to Oval Transition - Length","Duct Fittings","MHT-ME-DF-Rectangular-To-Oval-Transition-Length","","missing_shape;missing_fitting"
"Rectangular to Round Transition - Angle","Duct Fittings","MHT-ME-DF-Round-Transition-DN152","",""
"Rectangular Transition - Angle","Duct Fittings","MHT-ME-DF-Rectangular-Transition-Angle","","missing_shape;missing_fitting"
"Rectangular Union","Duct Fittings","MHT-ME-DF-Rectangular-Union","","missing_shape;missing_fitting"
"Round Cross","Duct Fittings","MHT-ME-DF-Round-Cross","","missing_shape;missing_fitting;missing_size"
"Round Elbow","Duct Fittings","MHT-ME-DF-Round-Elbow-DN102","",""
"Round Endcap","Duct Fittings","MHT-ME-DF-Round-Endcap-DN203","",""
"Round Tee","Duct Fittings","MHT-ME-DF-Round-Tee-DN203","",""
"Round Transition - Angle","Duct Fittings","MHT-ME-DF-Round-Transition-DN203","",""
"Bend - PVC - Sch 40 - DWV","Pipe Fittings","MHT-PL-PFIT-Bend-PVC-Sch-40-DWV","",""
"Coupling - Generic","Pipe Fittings","MHT-PL-PFIT-Upling-Generic","",""
"Coupling - PVC - Sch 40 - DWV","Pipe Fittings","MHT-PL-PFIT-Upling-PVC-Sch-40-DWV","",""
"Plug - PVC - Sch 40 - DWV","Pipe Fittings","MHT-PL-PFIT-PVC-Sch-40-DWV","",""
"Reducer - PVC - Sch 40 - DWV","Pipe Fittings","MHT-PL-PFIT-Reducer-PVC-Sch-40-DWV","",""
"Tee - Generic","Pipe Fittings","MHT-PL-PFIT-Generic","",""
"Tee Sanitary - PVC - Sch 40 - DWV","Pipe Fittings","MHT-PL-PFIT-Sanitary-PVC-Sch-40-DWV","",""
"Transition - Generic","Pipe Fittings","MHT-PL-PFIT-Transition-Generic","",""
"Round Takeoff","Duct Fittings","MHT-ME-DF-Round-Takeoff","","missing_shape;missing_fitting"
"Oval Endcap","Duct Fittings","MHT-ME-DF-Oval-Endcap","","missing_shape;missing_fitting"
"Rectangular Takeoff","Duct Fittings","MHT-ME-DF-Rectangular-Takeoff","","missing_shape;missing_fitting"
"Grid Head - Circle1","Grid Heads","MHT-ME-FAM-Grid-Head-Circle1","",""
