Family,Category,SuggestedName,Conflict,ProblemReasons
"MHT-ME-FAM-Rectangular Mullion","Curtain Wall Mullions","MHT-ME-FAM-Rectangular Mullion","",""
"MHT-ME-FAM-Circular Mullion","Curtain Wall Mullions","MHT-ME-FAM-Circular Mullion","",""
"MHT-ME-FAM-System Panel","Curtain Panels","MHT-ME-FAM-System Panel","",""
"MHT-ME-FAM-Empty System Panel","Curtain Panels","MHT-ME-FAM-Empty System Panel","",""
"MHT-ME-FAM-L Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-L Corner Mullion","",""
"MHT-ME-FAM-V Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-V Corner Mullion","",""
"MHT-ME-FAM-Trapezoid Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-Trapezoid Corner Mullion","",""
"MHT-ME-FAM-Quad Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-Quad Corner Mullion","",""
"MHT-ME-FAM-Section Head - No Arrow","Section Marks","MHT-ME-FAM-Section Head-No Arrow","",""
"MHT-ME-FAM-Section Tail - Filled Horizontal","Section Marks","MHT-ME-FAM-Section Tail-Filled Horizontal","",""
"MHT-ME-FAM-Spot Elevation - Target Filled","Spot Elevation Symbols","MHT-ME-FAM-Spot Elevation-Target Filled","",""
"MHT-ME-FAM-Circular Handrail","Profiles","MHT-ME-FAM-Circular Handrail","",""
"MHT-ME-FAM-Rectangular Handrail","Profiles","MHT-ME-FAM-Rectangular Handrail","",""
"MHT-ME-FAM-Fascia-Flat","Profiles","MHT-ME-FAM-Fascia-Flat","",""
"MHT-ME-FAM-Gutter - Bevel","Profiles","MHT-ME-FAM-Gutter-Bevel","",""
"MHT-ME-FAM-Slab Edge-Thickened","Profiles","MHT-ME-FAM-Slab Edge-Thickened","",""
"MHT-ME-FAM-Baluster - Square","Balusters","MHT-ME-FAM-Baluster-Square","",""
"MHT-ME-FAM-Elevation Mark Body-Circle-12mm","Elevation Marks","MHT-ME-FAM-Elevation Mark Body-Circle-12mm","",""
"MHT-ME-FAM-Elevation Mark Pointer-Circle-12mm","Elevation Marks","MHT-ME-FAM-Elevation Mark Pointer-Circle-12mm","",""
"MHT-ME-DF-Union-Cir-ƒm","Duct Fittings","MHT-ME-DF-Union-Cir-ƒm","","missing_shape;missing_fitting"
"MHT-ME-DF-Union-Oval-ƒm","Duct Fittings","MHT-ME-DF-Union-Oval-ƒm","","missing_shape;missing_fitting"
"MHT-ME-DF-Union-Rect-ƒm","Duct Fittings","MHT-ME-DF-Union-Rect-ƒm","","missing_shape;missing_fitting"
"MHT-ME-FAM-Tee - Soldered - CU","Pipe Fittings","MHT-ME-FAM-Tee-Soldered-CU","",""
"MHT-ME-FAM-Coupling - Soldered - CU","Pipe Fittings","MHT-ME-FAM-Coupling-Soldered-CU","",""
"MHT-ME-FAM-Reducer Straight - Soldered - CU","Pipe Fittings","MHT-ME-FAM-Reducer Straight-Soldered-CU","",""
"MHT-ME-FAM-Coupling - Brazed - CU","Pipe Fittings","MHT-ME-FAM-Coupling-Brazed-CU","",""
"MHT-ME-FAM-M-Channel Horizontal Bend","Cable Tray Fittings","MHT-ME-FAM-M-Channel Horizontal Bend","",""
"MHT-ME-FAM-M-Channel Horizontal Tee","Cable Tray Fittings","MHT-ME-FAM-M-Channel Horizontal Tee","",""
"MHT-ME-FAM-Cable Tray Reducer","Cable Tray Fittings","MHT-ME-FAM-Cable Tray Reducer","",""
"MHT-ME-FAM-Cable Tray Horizontal Cross","Cable Tray Fittings","MHT-ME-FAM-Cable Tray Horizontal Cross","",""
"MHT-ME-FAM-Cable Tray Union","Cable Tray Fittings","MHT-ME-FAM-Cable Tray Union","",""
"MHT-ME-FAM-Cable Tray Vertical Inside Bend","Cable Tray Fittings","MHT-ME-FAM-Cable Tray Vertical Inside Bend","",""
"MHT-ME-FAM-Cable Tray Vertical Outside Bend","Cable Tray Fittings","MHT-ME-FAM-Cable Tray Vertical Outside Bend","",""
"MHT-ME-FAM-Victaulic-Grooved SSDI Coupling OGS-AGS-Face","Pipe Fittings","MHT-ME-FAM-Victaulic-Grooved SSDI Coupling OGS-AGS-Face","",""
"MHT-ME-FAM-Victaulic-Gasket Set","Pipe Fittings","MHT-ME-FAM-Victaulic-Gasket Set","",""
"MHT-ME-FAM-Victaulic-Flange Washer","Pipe Fittings","MHT-ME-FAM-Victaulic-Flange Washer","",""
"MHT-ME-FAM-Flange - Slip-on - Steel - Class 150","Pipe Fittings","MHT-ME-FAM-Flange-Slip-on-Steel-Class 150","",""
