Family,Category,SuggestedName,Conflict,ProblemReasons
"MHT-ME-Curtain Panels","Curtain Panels","MHT-ME-FAM-Curtain-Panels","",""
"MHT-ME-Curtain Wall Mullions","Curtain Wall Mullions","MHT-ME-FAM-Curtain-Wall-Mullions","",""
"MHT-ME-Circular Mullion","Curtain Wall Mullions","MHT-ME-FAM-Circular-Mullion","",""
"MHT-ME-L Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-L-Corner-Mullion","",""
"MHT-ME-V Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-V-Corner-Mullion","",""
"MHT-ME-Trapezoid Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-Trapezoid-Corner-Mullion","",""
"MHT-ME-Quad Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-Quad-Corner-Mullion","",""
"MHT-ME-Level Heads","Level Heads","MHT-ME-FAM-Level-Heads","",""
"MHT-ME-View Reference","View Reference","MHT-ME-FAM-View-Reference","",""
"MHT-ME-View Titles","View Titles","MHT-ME-FAM-View-Titles","",""
"MHT-ME-DF-Rectangular Shoe Branch - Flanged","Duct Fittings","MHT-ME-DF-Round-Tee-Lr-DN900-DN900","",""
"MHT-ME-DF-Rectangular Square Branch - Flanged","Duct Fittings","MHT-ME-DF-Round-Tee-Flanged-DN1200","",""
"MHT-ME-DF-Round Union-01","Duct Fittings","MHT-ME-DF-DF-Round-Union-01","","missing_shape;missing_fitting"
"MHT-ME-DF-Round Pressed Equal Tee - Slip Joint","Duct Fittings","MHT-ME-DF-DF-Round-Pressed-Equal-Tee-Slip-Joint","","missing_shape;missing_fitting"
"MHT-ME-DF-Round Taper - Slip Joint","Duct Fittings","MHT-ME-DF-Round-Tee-Lr-DN350-DN350","",""
"MHT-ME-DF-Rectangular - Oval Transformation - Slip Joint","Duct Fittings","MHT-ME-DF-DF-Rectangular-Oval-Transformation-Slip-Joint","","missing_shape;missing_fitting;missing_size"
"MHT-ME-DF-Rectangular - Round Transformation - Flanged","Duct Fittings","MHT-ME-DF-Round-Tee-Lr-DN900-01","",""
"MHT-ME-DF-Rectangular - Oval Transformation - Flanged-01","Duct Fittings","MHT-ME-DF-DF-Rectangular-Oval-Transformation-Flanged-01","","missing_shape;missing_fitting;missing_size"
"MHT-ME-Pipe Fittings","Pipe Fittings","MHT-ME-FAM-Pipe-Fittings","",""
"MHT-ME-Coupling - Soldered - CU","Pipe Fittings","MHT-ME-FAM-Coupling-Soldered-CU-01","",""
"MHT-ME-Cross - Soldered - CU","Pipe Fittings","MHT-ME-FAM-Cross-Soldered-CU-01","",""
"MHT-ME-Reducer Straight - Soldered - CU","Pipe Fittings","MHT-ME-FAM-Reducer-Straight-Soldered-CU","",""
"MHT-ME-Stop End - Soldered - CU","Pipe Fittings","MHT-ME-FAM-Stop-End-Soldered-CU","",""
"MHT-ME-Cap - Plain - PVC-C1","Pipe Fittings","MHT-ME-FAM-Cap-Plain-PVC-C1","",""
