Family,Category,SuggestedName,Conflict,ProblemReasons
"MHT-ME-CP-System-Panel","Curtain Panels","MHT-ME-FAM-System-Panel","",""
"MHT-ME-CWM-Rectangular-Mullion","Curtain Wall Mullions","MHT-ME-FAM-Rectangular-Mullion","",""
"MHT-ME-CWM-Circular-Mullion","Curtain Wall Mullions","MHT-ME-FAM-Circular-Mullion","",""
"MHT-ME-CWM-Corner-Mullion","Curtain Wall Mullions","MHT-ME-FAM-Corner-Mullion","",""
"MHT-ME-CWM-Corner-Mullion-02","Curtain Wall Mullions","MHT-ME-FAM-Corner-Mullion-02","",""
"MHT-ME-CWM-Trapezoid-Corner-Mullion","Curtain Wall Mullions","MHT-ME-FAM-Trapezoid-Corner-Mullion","",""
"MHT-ME-CWM-Quad-Corner-Mullion","Curtain Wall Mullions","MHT-ME-FAM-Quad-Corner-Mullion","",""
"MHT-ME-FAM-Sectiontail","Section Marks","MHT-ME-FAM-Sectiontail-01","DUP",""
"MHT-ME-FAM-Level-Head-Circle","Level Heads","MHT-ME-FAM-Level-Head-Circle-01","DUP",""
"MHT-ME-FAM-Sectionhead","Section Marks","MHT-ME-FAM-Sectionhead-01","DUP",""
"MHT-ME-FAM-Callout-Head","Callout Heads","MHT-ME-FAM-Callout-Head-01","DUP",""
"MHT-ME-FAM-Viewreference","View Reference","MHT-ME-FAM-Viewreference","",""
"MHT-ME-FAM-Gridhead","Grid Heads","MHT-ME-FAM-Gridhead","",""
"MHT-ME-FAM-Logo-Meinhardt-50Mm","Generic Annotations","MHT-ME-FAM-Logo-Meinhardt-50Mm","",""
"MHT-ME-FAM-Logo-Meinhardt-120Mm","Generic Annotations","MHT-ME-FAM-Logo-Meinhardt-120Mm","",""
"MHT-ME-FAM-Level-Head-Target-RL","Level Heads","MHT-ME-FAM-Level-Head-Target-RL","",""
"MHT-ME-FAM-Level-Head-Triangle-RL-Multi","Level Heads","MHT-ME-FAM-Level-Head-Triangle-RL-Multi","",""
"MHT-ME-FAM-Grid-Head-Circle","Grid Heads","MHT-ME-FAM-Grid-Head-Circle","",""
"MHT-ME-DF-Rectangular-Square-Tee-Flanged","Duct Fittings","MHT-ME-DF-Rectangular-Square-Tee-Flanged","","missing_shape;missing_fitting"
"MHT-ME-DF-Rect-Press-Flanged-DN450","Duct Fittings","MHT-ME-DF-Rect-Fitting-Flanged-DN600-DN600","",""
"MHT-ME-DF-Rectangular-Transition","Duct Fittings","MHT-ME-DF-Rectangular-Transition","","missing_shape;missing_fitting"
"MHT-ME-DF-Spigot-DN8","Duct Fittings","MHT-ME-DF-Spigot-DN8","","missing_shape;missing_fitting"
"MHT-ME-FAM-Level-Head-Circle-02","Level Heads","MHT-ME-FAM-Level-Head-Circle-02","",""
"MHT-ME-DF-Round-Union","Duct Fittings","MHT-ME-DF-Round-Union","","missing_shape;missing_fitting"
"MHT-ME-DF-Round-Pressed-Equal-Tee-Slip-Joint","Duct Fittings","MHT-ME-DF-Round-Pressed-Equal-Tee-Slip-Joint","","missing_shape;missing_fitting"
"MHT-ME-DF-Round-Taper-Slip-Joint","Duct Fittings","MHT-ME-DF-Round-Press-SlipJoint-DN250","",""
"MHT-ME-DF-Rectangular-Oval-Transformation-Slip-Joint","Duct Fittings","MHT-ME-DF-Rectangular-Oval-Transformation-Slip-Joint","","missing_shape;missing_fitting;missing_size"
"MHT-ME-DF-Rectangular-Union","Duct Fittings","MHT-ME-DF-Rectangular-Union","","missing_shape;missing_fitting"
"MHT-ME-DF-Rectangular-Oval-Transformation-Flanged","Duct Fittings","MHT-ME-DF-Rectangular-Oval-Transformation-Flanged","","missing_shape;missing_fitting;missing_size"
"MHT-ME-FAM-PF-Bush-Reducing-Plain-PVC-C","Pipe Fittings","MHT-PL-PFIT-Bush-Reducing-Plain-PVC-C-01","DUP",""
"MHT-ME-PF-Coupling-Soldered-CU","Pipe Fittings","MHT-PL-PFIT-Upling-Soldered-CU","",""
"MHT-ME-PF-Cross-Soldered-CU","Pipe Fittings","MHT-PL-PFIT-Cross-Soldered-CU","",""
"MHT-ME-PF-Reducer-Straight-Soldered-CU","Pipe Fittings","MHT-PL-PFIT-Reducer-Straight-Soldered-CU","",""
"MHT-ME-PF-Stop-End-Soldered-CU","Pipe Fittings","MHT-PL-PFIT-Stop-End-Soldered-CU","",""
"MHT-ME-PF-Cap-Plain-PVC-C1","Pipe Fittings","MHT-PL-PFIT-Plain-PVC-C1","",""
"MHT-ME-PF-Cross-Plain-PVC-C2","Pipe Fittings","MHT-PL-PFIT-Cross-Plain-PVC-C2","",""
"MHT-ME-PF-Socket-Plain-PVC-C2","Pipe Fittings","MHT-PL-PFIT-Socket-Plain-PVC-C2","",""
"MHT-ME-PF-Elbow-Plain-PVC-C2","Pipe Fittings","MHT-PL-PFIT-Plain-PVC-C2-01","DUP",""
"MHT-ME-PF-Tee-Plain-PVC-C2","Pipe Fittings","MHT-PL-PFIT-Plain-PVC-C2-02","DUP",""
"MHT-ME-PF-Tee-Soldered-CU2","Pipe Fittings","MHT-PL-PFIT-Soldered-CU2-01","DUP",""
"MHT-ME-PF-Elbow-Soldered-CU2","Pipe Fittings","MHT-PL-PFIT-Soldered-CU2-02","DUP",""
"MHT-ME-DF-Rectangular-Long-Radius-Bend-Flanged","Duct Fittings","MHT-ME-DF-Rectangular-Long-Radius-Bend-Flanged","","missing_shape;missing_fitting;missing_size"
"MHT-ME-FAM-ASYM-SHT-STARTING-VIEW","Title Blocks","MHT-ME-FAM-ASYM-SHT-STARTING-VIEW","",""
"MHT-ME-GM-GM-Spatial","Generic Models","MHT-ME-GM-Spatial","",""
"MHT-ME-FAM-Anno-Tag-Room-2","Room Tags","MHT-ME-FAM-Tag-Room-2","",""
"MHT-ME-FAM-Anno-Tag-Room-Large","Room Tags","MHT-ME-FAM-Tag-Room-Large","",""
"MHT-ME-FAM-Anno-Tag-Room-Medium","Room Tags","MHT-ME-FAM-Tag-Room-Medium","",""
"MHT-ME-FAM-Anno-Tag-Room-Small","Room Tags","MHT-ME-FAM-Tag-Room-Small","",""
"MHT-ME-FAM-Anno-Tag-Room-Xlarge","Room Tags","MHT-ME-FAM-Tag-Room-Xlarge","",""
"MHT-ME-FAM-Room-Tag-Lighting","Room Tags","MHT-ME-FAM-Room-Tag-Lighting","",""
"MHT-ME-GM-GM-Spatial-1","Generic Models","MHT-ME-GM-Spatial-1","",""
"MHT-ME-MEQ-Pump-UND","Mechanical Equipment","MHT-ME-MEQ-Pump-UND","",""
"MHT-ME-DF-Oval-Round-Transformation-Slip-Joint","Duct Fittings","MHT-ME-DF-Oval-Round-Transformation-Slip-Joint","","missing_shape;missing_fitting;missing_size"
"MHT-ME-DF-Oval-Blank-End","Duct Fittings","MHT-ME-DF-Oval-Blank-End","","missing_shape;missing_fitting;missing_size"
"MHT-ME-DF-Oval-Concentric-Taper-Slip-Joint","Duct Fittings","MHT-ME-DF-Oval-Concentric-Taper-Slip-Joint","","missing_shape;missing_fitting"
"MHT-ME-DF-Oval-Segmented-Bend-Slip-Joint","Duct Fittings","MHT-ME-DF-Oval-Segmented-Bend-Slip-Joint","","missing_shape;missing_fitting"
"MHT-ME-DF-Oval-Shoe-Branch-Slip-Joint","Duct Fittings","MHT-ME-DF-Oval-Shoe-Branch-Slip-Joint","","missing_shape;missing_fitting"
"MHT-ME-DF-Oval-Shoe-Cross-Slip-Joint","Duct Fittings","MHT-ME-DF-Oval-Shoe-Cross-Slip-Joint","","missing_shape;missing_fitting"
"MHT-ME-DF-Oval-Square-Tee-Slip-Joint","Duct Fittings","MHT-ME-DF-Oval-Square-Tee-Slip-Joint","","missing_shape;missing_fitting"
"MHT-ME-DF-Oval-Union","Duct Fittings","MHT-ME-DF-Oval-Union","","missing_shape;missing_fitting"
"MHT-ME-DF-Rectangular-Medium-Radius-Bend-Flanged 2","Duct Fittings","MHT-ME-DF-Rectangular-Medium-Radius-Bend-Flanged-2","","missing_shape;missing_fitting;missing_size"
"MHT-ME-DF-Round-Blank-End","Duct Fittings","MHT-ME-DF-Round-Blank-End","","missing_shape;missing_fitting;missing_size"
"MHT-ME-DF-Round-Segmented-Bend-Slip-Joint","Duct Fittings","MHT-ME-DF-Round-Segmented-Bend-Slip-Joint","","missing_shape;missing_fitting"
"MHT-ME-DF-Round-Shoe-Branch-Slip-Joint","Duct Fittings","MHT-ME-DF-Round-Shoe-Branch-Slip-Joint","","missing_shape;missing_fitting"
"MHT-ME-PF-Cap-Plain-PVC-C","Pipe Fittings","MHT-PL-PFIT-Plain-PVC-C-01","DUP",""
"MHT-ME-FAM-PF-Cross-Plain-PVC-C","Pipe Fittings","MHT-PL-PFIT-Cross-Plain-PVC-C-01","DUP",""
"MHT-ME-PF-Socket-Plain-PVC-C","Pipe Fittings","MHT-PL-PFIT-Socket-Plain-PVC-C-01","DUP",""
"MHT-ME-PF-Tee-Plain-PVC-C","Pipe Fittings","MHT-PL-PFIT-Plain-PVC-C-02","DUP",""
"MHT-ME-DF-Spigot-DN38","Duct Fittings","MHT-ME-DF-Spigot-DN38","","missing_shape;missing_fitting"
"MHT-ME-DF-Rectangular-Concentric-Taper-Slip-Joint","Duct Fittings","MHT-ME-DF-Rectangular-Concentric-Taper-Slip-Joint","","missing_shape;missing_fitting"
"MHT-ME-DF-Rectangular-Eccentric-Taper-Slip-Joint","Duct Fittings","MHT-ME-DF-Rectangular-Eccentric-Taper-Slip-Joint","","missing_shape;missing_fitting"
"MHT-ME-DF-Rect-Press-ShortRad-DN600","Duct Fittings","MHT-ME-DF-Rect-Fitting-ShortRad-DN600","",""
"MHT-ME-DF-Rectangular-Duct-Cross","Duct Fittings","MHT-ME-DF-Rectangular-Duct-Cross","","missing_shape;missing_fitting;missing_size"
"MHT-ME-DF-Rectangular-Duct-Radius-Elbow","Duct Fittings","MHT-ME-DF-Rectangular-Duct-Radius-Elbow","","missing_shape;missing_fitting"
"MHT-ME-DF-Rectangular-Duct-Tee","Duct Fittings","MHT-ME-DF-Rectangular-Duct-Tee","","missing_shape;missing_fitting"
"MHT-ME-DF-Round-Duct-Cross","Duct Fittings","MHT-ME-DF-Round-Duct-Cross","","missing_shape;missing_fitting;missing_size"
"MHT-ME-DF-Round-Duct-Elbow","Duct Fittings","MHT-ME-DF-Round-Elbow-DN350","",""
"MHT-ME-DF-Round-Transition-DN350","Duct Fittings","MHT-ME-DF-Round-Transition-DN350","",""
"MHT-ME-PF-Pipe-Straight-Coupling","Pipe Fittings","MHT-PL-PFIT-Pipe-Straight-Coupling","",""
"MHT-ME-DF-Round-Duct-Union","Duct Fittings","MHT-ME-DF-Round-Duct-Union","","missing_shape;missing_fitting"
"MHT-ME-DF-Round-Duct-Tee","Duct Fittings","MHT-ME-DF-Round-Duct-Tee","","missing_shape;missing_fitting"
"MHT-ME-PF-Cross-Threaded-MI-Class-150","Pipe Fittings","MHT-PL-PFIT-Cross-Threaded-MI-Class-150","",""
"MHT-ME-PF-COES-Concentric-Reduction","Pipe Fittings","MHT-PL-PFIT-Concentric-Reduction","",""
"MHT-ME-PF-Coupling-Threaded-MI-Class-150","Pipe Fittings","MHT-PL-PFIT-Upling-Threaded-MI-Class-150","",""
"MHT-ME-PF-Transition-Generic","Pipe Fittings","MHT-PL-PFIT-Transition-Generic-01","DUP",""
"MHT-ME-FAM-PF-Cross-Generic","Pipe Fittings","MHT-PL-PFIT-Cross-Generic-01","DUP",""
"MHT-ME-PF-Tee-Generic","Pipe Fittings","MHT-PL-PFIT-Generic-01","DUP",""
"MHT-ME-FAM-Transition-Generic","Pipe Fittings","MHT-PL-PFIT-Transition-Generic-02","DUP",""
"MHT-ME-PF-Tee-Threaded-MI-Class-150","Pipe Fittings","MHT-PL-PFIT-Threaded-MI-Class-150-01","DUP",""
"MHT-ME-PF-Coupling-Concentric-Reducing-Threaded-MI-Class-150","Pipe Fittings","MHT-PL-PFIT-Upling-Concentric-Reducing-Threaded-MI-Class-150","",""
"MHT-ME-PF-Elbow-Threaded-MI-Class-150","Pipe Fittings","MHT-PL-PFIT-Threaded-MI-Class-150-02","DUP",""
"MHT-ME-DF-Rectangular-Wye-Curved","Duct Fittings","MHT-ME-DF-Rectangular-Wye-Curved","","missing_shape;missing_fitting"
"MHT-ME-PF-Cross-Flanged-CS-PN-40","Pipe Fittings","MHT-PL-PFIT-Cross-Flanged-CS-PN-40","",""
"MHT-ME-PF-Coupling-Soldered-CU1","Pipe Fittings","MHT-PL-PFIT-Upling-Soldered-CU1","",""
"MHT-ME-PF-Tee-Soldered-CU1","Pipe Fittings","MHT-PL-PFIT-Soldered-CU1-01","DUP",""
"MHT-ME-PF-Cross-Soldered-CU1","Pipe Fittings","MHT-PL-PFIT-Cross-Soldered-CU1","",""
"MHT-ME-PF-COES-90-Elbow","Pipe Fittings","MHT-PL-PFIT-90-Elbow","",""
"MHT-ME-PF-Cross-Welded-Generic","Pipe Fittings","MHT-PL-PFIT-Cross-Welded-Generic-01","DUP",""
"MHT-ME-DF-Rectangular-Shoe-Branch-Flanged1","Duct Fittings","MHT-ME-DF-Rect-Fitting-Flanged-DN1000-DN1000","",""
"MHT-ME-FAM-PF-Elbow-Plain-PVC-C","Pipe Fittings","MHT-PL-PFIT-Plain-PVC-C-03","DUP",""
"MHT-ME-PF-Elbow-Soldered-CU","Pipe Fittings","MHT-PL-PFIT-Soldered-CU-01","DUP",""
"MHT-ME-FAM-PF-Elbow-Generic","Pipe Fittings","MHT-PL-PFIT-Generic-02","DUP",""
"MHT-ME-PF-Tee-Soldered-CU","Pipe Fittings","MHT-PL-PFIT-Soldered-CU-02","DUP",""
"MHT-ME-DF-Rectangular-Medium-Radius-Bend-Flanged 1","Duct Fittings","MHT-ME-DF-Rectangular-Medium-Radius-Bend-Flanged-1","","missing_shape;missing_fitting;missing_size"
"MHT-ME-PF-Victaulic-FP-Firelock-EZ-Rigid-Coupling-Style-009H","Pipe Fittings","MHT-PL-PFIT-Victaulic-FP-Firelock-EZ-Rigid-Coupling-Style-009H","",""
"MHT-ME-PF-Victaulic-IPS-Concentric-Reducer-No-50","Pipe Fittings","MHT-PL-PFIT-Victaulic-IPS-Concentric-Reducer-No-50","",""
"MHT-ME-PF-Victaulic-IPS-Tee-Reducing-Tee-No-20-25","Pipe Fittings","MHT-PL-PFIT-Victaulic-IPS-Tee-Reducing-Tee-No-20-25","",""
"MHT-ME-PF-Victaulic-IPS-Elbow-No-10-13","Pipe Fittings","MHT-PL-PFIT-Victaulic-IPS-Elbow-No-10-13","",""
"MHT-ME-PF-Victaulic-AGS-Rigid-Coupling-Style-W89","Pipe Fittings","MHT-PL-PFIT-Victaulic-AGS-Rigid-Coupling-Style-W89","",""
"MHT-ME-PF-Tee-Welded-Generic","Pipe Fittings","MHT-PL-PFIT-Welded-Generic-01","DUP",""
"MHT-ME-PF-Elbow-Welded-Generic","Pipe Fittings","MHT-PL-PFIT-Welded-Generic-02","DUP",""
"MHT-ME-PF-Tee-Flanged-CS-PN-40","Pipe Fittings","MHT-PL-PFIT-Flanged-CS-PN-40-01","DUP",""
"MHT-ME-PF-Elbow-Flanged-CS-PN-40","Pipe Fittings","MHT-PL-PFIT-Flanged-CS-PN-40-02","DUP",""
"MHT-ME-DF-Square-Transition-2016-Test","Duct Fittings","MHT-ME-DF-Square-Transition-2016-Test","","missing_shape;missing_fitting"
"MHT-ME-PF-Tee-Generic-Fire","Pipe Fittings","MHT-PL-PFIT-Generic-Fire","",""
"MHT-ME-PF-Cross-Generic-Fire","Pipe Fittings","MHT-PL-PFIT-Cross-Generic-Fire","",""
"MHT-ME-PF-Transition-Generic-Fire","Pipe Fittings","MHT-PL-PFIT-Transition-Generic-Fire","",""
"MHT-ME-PF-Tee-PVC-Sch-40","Pipe Fittings","MHT-PL-PFIT-PVC-Sch-40-01","DUP",""
