Family,Category,SuggestedName,Conflict,ProblemReasons
"MHT-ME-FAM-Curtain Panels","Curtain Panels","MHT-ME-FAM-ME-FAM-Curtain-Panels","",""
"MHT-ME-FAM-Curtain Wall Mullions","Curtain Wall Mullions","MHT-ME-FAM-ME-FAM-Curtain-Wall-Mullions","",""
"MHT-ME-FAM-Circular Mullion","Curtain Wall Mullions","MHT-ME-FAM-ME-FAM-Circular-Mullion","",""
"MHT-ME-FAM-L Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-ME-FAM-L-Corner-Mullion","",""
"MHT-ME-FAM-V Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-ME-FAM-V-Corner-Mullion","",""
"MHT-ME-FAM-Trapezoid Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-ME-FAM-Trapezoid-Corner-Mullion","",""
"MHT-ME-FAM-Quad Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-ME-FAM-Quad-Corner-Mullion","",""
"MHT-ME-FAM-Section Marks","Section Marks","MHT-ME-FAM-ME-FAM-Section-Marks","",""
"MHT-ME-FAM-Level Heads","Level Heads","MHT-ME-FAM-ME-FAM-Level-Heads","",""
"MHT-ME-FAM-SectionHead","Section Marks","MHT-ME-FAM-ME-FAM-Sectionhead","",""
"MHT-ME-FAM-Callout Heads","Callout Heads","MHT-ME-FAM-ME-FAM-Callout-Heads","",""
"MHT-ME-FAM-View Reference","View Reference","MHT-ME-FAM-ME-FAM-View-Reference","",""
"MHT-ME-FAM-Callout Head","Callout Heads","MHT-ME-FAM-ME-FAM-Callout-Head","",""
"MHT-ME-FAM-View Titles","View Titles","MHT-ME-FAM-ME-FAM-View-Titles","",""
"MHT-ME-FAM-Logo-Meinhardt-50mm","Generic Annotations","MHT-ME-FAM-ME-FAM-Logo-Meinhardt-50Mm","",""
"MHT-ME-FAM-Logo-Meinhardt-120mm","Generic Annotations","MHT-ME-FAM-ME-FAM-Logo-Meinhardt-120Mm","",""
"MHT-ME-FAM-Level Head-Target RL","Level Heads","MHT-ME-FAM-ME-FAM-Level-Head-Target-RL","",""
"MHT-ME-FAM-Level Head-Triangle RL Multi","Level Heads","MHT-ME-FAM-ME-FAM-Level-Head-Triangle-RL-Multi","",""
"MHT-ME-FAM-Grid Heads","Grid Heads","MHT-ME-FAM-ME-FAM-Grid-Heads","",""
"MHT-ME-DF-Duct Fittings","Duct Fittings","MHT-ME-DF-ME-DF-Duct-Fittings","","missing_shape;missing_fitting"
"MHT-ME-DF-Rectangular Shoe Branch - Flanged","Duct Fittings","MHT-ME-DF-ME-DF-Rectangular-Shoe-Branch-Flanged","","missing_shape;missing_fitting"
"MHT-ME-DF-Rectangular Square Branch - Flanged","Duct Fittings","MHT-ME-DF-ME-DF-Rectangular-Square-Branch-Flanged","","missing_shape;missing_fitting"
"MHT-ME-DF-Rectangular transition","Duct Fittings","MHT-ME-DF-Rect-Transition-DN1500","",""
"MHT-ME-DF-Spigot","Duct Fittings","MHT-ME-DF-ME-DF-Spigot","","missing_shape;missing_fitting"
"MHT-ME-FAM-Level Head - Circle","Level Heads","MHT-ME-FAM-ME-FAM-Level-Head-Circle","",""
"MHT-ME-DF-Round Union-01","Duct Fittings","MHT-ME-DF-ME-DF-Round-Union-01","","missing_shape;missing_fitting"
"MHT-ME-DF-Round Pressed Equal Tee - Slip Joint","Duct Fittings","MHT-ME-DF-ME-DF-Round-Pressed-Equal-Tee-Slip-Joint","","missing_shape;missing_fitting"
"MHT-ME-DF-Round Taper - Slip Joint","Duct Fittings","MHT-ME-DF-ME-DF-Round-Taper-Slip-Joint","","missing_shape;missing_fitting"
