Family,Category,SuggestedName,Conflict,ProblemReasons
"Rectangular Mullion","Curtain Wall Mullions","MHT-ME-FAM-Rectangular-Mullion","",""
"Circular Mullion","Curtain Wall Mullions","MHT-ME-FAM-Circular-Mullion","",""
"System Panel","Curtain Panels","MHT-ME-FAM-System-Panel","",""
"Empty System Panel","Curtain Panels","MHT-ME-FAM-Empty-System-Panel","",""
"L Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-L-Corner-Mullion","",""
"V Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-V-Corner-Mullion","",""
"Trapezoid Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-Trapezoid-Corner-Mullion","",""
"Quad Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-Quad-Corner-Mullion","",""
"Brick - UK Standard","Detail Items","MHT-ME-FAM-Brick-UK-Standard","",""
"M_Callout Head","Callout Heads","MHT-ME-FAM-M-Callout-Head","",""
"M_Grid Head - Circle","Grid Heads","MHT-ME-FAM-M-Grid-Head-Circle","",""
"M_Level Head - Circle","Level Heads","MHT-ME-FAM-M-Level-Head-Circle","",""
"M_Section Head - Filled","Section Marks","MHT-ME-FAM-M-Section-Head-Filled","",""
"M_Section Head - No Arrow","Section Marks","MHT-ME-FAM-M-Section-Head-No-Arrow","",""
"M_Section Tail - Filled","Section Marks","MHT-ME-FAM-M-Section-Tail-Filled","",""
"M_Section Tail - Filled Horizontal","Section Marks","MHT-ME-FAM-M-Section-Tail-Filled-Horizontal","",""
"M_View Title","View Titles","MHT-ME-FAM-M-View-Title","",""
"M_Fascia-Flat","Profiles","MHT-ME-FAM-M-Fascia-Flat","",""
"M_Gutter - Bevel","Profiles","MHT-ME-FAM-M-Gutter-Bevel","",""
"M_Slab Edge-Thickened","Profiles","MHT-ME-FAM-M-Slab-Edge-Thickened","",""
"M_Duct Size Tag","Duct Tags","MHT-ME-DF-M-Duct-Size-Tag","","missing_shape;missing_fitting;missing_size"
"M_Rectangular Duct Cross","Duct Fittings","MHT-ME-DF-Rect-Press-DN350","",""
"M_Rectangular Duct Endcap","Duct Fittings","MHT-ME-DF-Rect-Endcap-DN250","",""
"M_Rectangular Duct Elbow - Mitered","Duct Fittings","MHT-ME-DF-Rect-Elbow-DN450","",""
"M_Rectangular Duct Tee","Duct Fittings","MHT-ME-DF-Rect-Tee-DN425","",""
"M_Rectangular Duct Union","Duct Fittings","MHT-ME-DF-Rect-Union-DN750","",""
"M_Round Duct Cross","Duct Fittings","MHT-ME-DF-M-Round-Duct-Cross","","missing_shape;missing_fitting;missing_size"
"M_Round Duct Tee","Duct Fittings","MHT-ME-DF-M-Round-Duct-Tee","","missing_shape;missing_fitting"
"M_Round Duct Union","Duct Fittings","MHT-ME-DF-M-Round-Duct-Union","","missing_shape;missing_fitting"
"M_Pipe Cross","Pipe Fittings","MHT-ME-FAM-M-Pipe-Cross","",""
"M_Pipe Straight Coupling","Pipe Fittings","MHT-ME-FAM-M-Pipe-Straight-Coupling","",""
"M_Sprinkler - Pendent - Hosted","Sprinklers","MHT-ME-FAM-M-Sprinkler-Pendent-Hosted","",""
"M_Lighting Switches","Lighting Devices","MHT-EL-LD-M-Lighting-Switches","",""
"M_Round Duct Elbow","Duct Fittings","MHT-ME-DF-M-Round-Duct-Elbow","","missing_shape;missing_fitting"
"M_Space Tag","Space Tags","MHT-ME-FAM-M-Space-Tag","",""
"M_Zone Tag","Zone Tags","MHT-ME-FAM-M-Zone-Tag","",""
"M_Wire Tag","Wire Tags","MHT-ME-FAM-M-Wire-Tag","",""
"M_Rectangular Duct Takeoff","Duct Fittings","MHT-ME-DF-Rect-Takeoff-DN450","",""
"M_Round Duct Takeoff","Duct Fittings","MHT-ME-DF-Round-Takeoff-DN250","",""
"M_Rectangular Duct Transition - Angle","Duct Fittings","MHT-ME-DF-Rect-Transition-DN450","",""
"M_Round Duct Transition - Angle","Duct Fittings","MHT-ME-DF-Round-Transition-DN250-DN250","",""
"M_Rectangular to Round Duct Transition - Angle","Duct Fittings","MHT-ME-DF-Round-Transition-DN250","",""
"M_Plain Recessed Lighting Fixture","Lighting Fixtures","MHT-EL-LF-Lighting-Fixture-UND","",""
"M_Water Closet - Flush Valve - Wall Mounted","Plumbing Fixtures","MHT-PL-PF-Plumbing-Fixture-UND","",""
"M_Return Diffuser","Air Terminals","MHT-ME-AT-RETURN-DN300","","missing_shape"
"M_Exhaust Grill","Air Terminals","MHT-ME-AT-EXHAUST-DN300","","missing_shape"
"M_Pipe Elbow","Pipe Fittings","MHT-ME-FAM-M-Pipe-Elbow","",""
"M_Pipe Tee","Pipe Fittings","MHT-ME-FAM-M-Pipe-Tee","",""
"M_Pipe Transition","Pipe Fittings","MHT-ME-FAM-M-Pipe-Transition","",""
"M_Supply Diffuser - Rectangular Face Round Neck","Air Terminals","MHT-ME-AT-SUPPLY-DN250","",""
"M_WSHP - Horizontal - High Efficiency - 7-18 kW - Right Return - Back Discharge","Mechanical Equipment","MHT-ME-MEQ-Pump-UND","",""
"M_Supply Diffuser - Sidewall","Air Terminals","MHT-ME-AT-SUPPLY-DN450","","missing_shape"
"M_WSHP - Horizontal - High Efficiency - 7-18 kW - Left Return - Right Discharge","Mechanical Equipment","MHT-ME-MEQ-Pump-DN450-UND","",""
"M_Return Grille - Rectangular - Hosted","Air Terminals","MHT-ME-AT-RETURN-DN400","",""
"M_WSHP - Horizontal - High Efficiency - 7-18 kW - Left Return - Back Discharge","Mechanical Equipment","MHT-ME-MEQ-Pump-UND-UND","",""
"M_Pendant Light - Disk","Lighting Fixtures","MHT-EL-LF-Lighting-Fixture-DN328084-UND","",""
"M_Sconce Light - Flat Round","Lighting Fixtures","MHT-EL-LF-Lighting-Fixture-DN196850-UND","",""
"M_Pendant Light - Linear - 2 Lamp","Lighting Fixtures","MHT-EL-LF-Lighting-Fixture-DN492126-UND","",""
"M_Lighting and Appliance Panelboard - 480V MLO - Surface","Electrical Equipment","MHT-EL-EE-Electrical-Equipment-UND","",""
"M_Lighting and Appliance Panelboard - 208V MLO - Surface","Electrical Equipment","MHT-EL-EE-Electrical-Equipment-DN1270-UND","",""
"M_Outdoor AHU - Horizontal","Mechanical Equipment","MHT-ME-MEQ-Pump-DN2642-UND","",""
"M_Diffuser Tag","Air Terminal Tags","MHT-ME-FAM-M-Diffuser-Tag","","missing_system;missing_size;missing_shape"
"M_Mechanical Equipment Tag","Mechanical Equipment Tags","MHT-ME-FAM-M-Mechanical-Equipment-Tag","",""
"M_Lighting Fixture Circuit Tag","Lighting Fixture Tags","MHT-ME-FAM-M-Lighting-Fixture-Circuit-Tag","",""
"M_Electrical Equipment Tag","Electrical Equipment Tags","MHT-ME-FAM-M-Electrical-Equipment-Tag","",""
"M_Centrifugal Fan -  Rooftop  - Upblast","Mechanical Equipment","MHT-ME-MEQ-Pump-DN4101050-UND","",""
"Exhaust Grille - Rectangular - Hosted - Horizontal","Air Terminals","MHT-ME-AT-EXHAUST-DN450","",""
"M_Lavatory - Wall Mounted","Plumbing Fixtures","MHT-PL-PF-Plumbing-Fixture-DN485-UND","",""
"M_Urinal - Wall Hung","Plumbing Fixtures","MHT-PL-PF-Plumbing-Fixture-DN20-UND","",""
"Rechteckiger Pfosten","Curtain Wall Mullions","MHT-ME-FAM-Rechteckiger-Pfosten","",""
"Systemelement","Curtain Panels","MHT-ME-FAM-Systemelement","",""
"Geländerpfosten - rechteckig","Balusters","MHT-ME-FAM-Gel-Nderpfosten-Rechteckig","",""
"Drehflügel 1-flg - Stahlzarge","Doors","MHT-ME-D-885","",""
"Türelement 1-flg - Drehflügel - Glas","Doors","MHT-ME-D-910","",""
"Türelement 2-flg - Drehflügel - Glas","Doors","MHT-ME-D-2490","",""
"STB Stütze - rund","Structural Columns","MHT-ME-FAM-STB-St-Tze-Rund","",""
"Aufzug 2-flg","Specialty Equipment","MHT-ME-FAM-Aufzug-2-Flg","",""
"Stahlbalkon","Generic Models","MHT-ME-GM-Stahlbalkon","",""
"Giebel","Mass","MHT-ME-FAM-Giebel","",""
"Stahlseil","Profiles","MHT-ME-FAM-Stahlseil","",""
"Handlauf - rund","Profiles","MHT-ME-FAM-Handlauf-Rund","",""
"Fassade - Pfosten - Deckprofil U","Profiles","MHT-ME-FAM-Fassade-Pfosten-Deckprofil-U","",""
"Sporthalle1","Mass","MHT-ME-FAM-Sporthalle1","",""
"Körper 2","Mass","MHT-ME-FAM-K-Rper-2","",""
"Diffuser Tag  - TYPE NAME","Air Terminal Tags","MHT-ME-FAM-Diffuser-Tag-NAME","","missing_system;missing_size;missing_shape"
"AISC Pipe Shapes-Section","Detail Items","MHT-ME-FAM-AISC-Pipe-Shapes-Section","",""
"AISC Pipe Shapes-Top","Detail Items","MHT-ME-FAM-AISC-Pipe-Shapes-Top","",""
"Centerline","Generic Annotations","MHT-ME-FAM-Centerline","",""
"View Title","View Titles","MHT-ME-FAM-View-Title","",""
"Section Tail - Filled Horizontal","Section Marks","MHT-ME-FAM-Section-Tail-Filled-Horizontal","",""
"Section Head - no arrow","Section Marks","MHT-ME-FAM-Section-Head-No-Arrow","",""
"Callout Head","Callout Heads","MHT-ME-FAM-Callout-Head","",""
"M_View Reference","View Reference","MHT-ME-FAM-M-View-Reference","",""
"M_Cross - Generic","Pipe Fittings","MHT-ME-FAM-M-Cross-Generic","",""
"M_Elbow - Generic","Pipe Fittings","MHT-ME-FAM-M-Elbow-Generic","",""
"M_Tee - Generic","Pipe Fittings","MHT-ME-FAM-M-Tee-Generic","",""
"M_Transition - Generic","Pipe Fittings","MHT-ME-FAM-M-Transition-Generic","",""
"M_Coupling - Generic","Pipe Fittings","MHT-ME-FAM-M-Coupling-Generic","",""
"M_Coupling - PVC - Sch 40 - DWV","Pipe Fittings","MHT-ME-FAM-M-Coupling-PVC-Sch-40-DWV","",""
"M_Wye 45 Deg Double - PVC - Sch 40 - DWV","Pipe Fittings","MHT-ME-FAM-M-Wye-45-Deg-Double-PVC-Sch-40-DWV","",""
