Family,Category,SuggestedName,Conflict,ProblemReasons
"MHT-ME-FAM-Level Head - Circle","Level Heads","MHT-ME-FAM-Mht-Me-Fam-Level-Head-Circle-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000061Cd-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-DF-Round Union-01","Duct Fittings","MHT-ME-DF-Mht-Me-Df-Round-Union-01","","missing_shape;missing_fitting"
"MHT-ME-DF-Round Pressed Equal Tee - Slip Joint","Duct Fittings","MHT-ME-DF-Mht-Me-Df-Round-Pressed-Equal-Tee-Slip-Joint","","missing_shape;missing_fitting"
"MHT-ME-DF-Round Taper - Slip Joint","Duct Fittings","MHT-ME-DF-Mht-Me-Df-Round-Taper-Slip-Joint","","missing_shape;missing_fitting"
"MHT-ME-DF-Rectangular - Oval Transformation - Slip Joint","Duct Fittings","MHT-ME-DF-Mht-Me-Df-Rectangular-Oval-Transformation-Slip-Joint","","missing_shape;missing_fitting;missing_size"
"MHT-ME-DF-Rectangular - Round Transformation - Flanged","Duct Fittings","MHT-ME-DF-Mht-Me-Df-Rectangular-Round-Transformation-Flanged","","missing_shape;missing_fitting;missing_size"
"MHT-ME-DF-Rectangular Union-01","Duct Fittings","MHT-ME-DF-Rect-Tee-DN5000","",""
"MHT-ME-DF-Rectangular - Oval Transformation - Flanged-01","Duct Fittings","MHT-ME-DF-Mht-Me-Df-Rectangular-Oval-Transformation-Flanged-01","","missing_shape;missing_fitting;missing_size"
"MHT-ME-FAM-Pipe Fittings","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Pipe-Fittings-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000061D6-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Coupling - Soldered - CU","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Coupling-Soldered-Cu-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000061D7-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Cross - Soldered - CU","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Cross-Soldered-Cu-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000061D8-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Reducer Straight - Soldered - CU","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Reducer-Straight-Soldered-Cu-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000061D9-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Stop End - Soldered - CU","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Stop-End-Soldered-Cu-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000061Da-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Cap - Plain - PVC-C1","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Cap-Plain-Pvc-C1-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000061Db-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Cross - Plain - PVC-C2","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Cross-Plain-Pvc-C2-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000061Dc-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Socket - Plain - PVC-C2","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Socket-Plain-Pvc-C2-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000061Dd-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Elbow - Plain - PVC-C2","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Elbow-Plain-Pvc-C2-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000061De-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Tee - Plain - PVC-C2","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Tee-Plain-Pvc-C2-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000061Df-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Tee - Soldered - CU2","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Tee-Soldered-Cu2-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000061E0-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Elbow - Soldered - CU2","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Elbow-Soldered-Cu2-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000061E1-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-DF-Rectangular Long Radius Bend - Flanged","Duct Fittings","MHT-ME-DF-Rect-Tee-LongRad-DN2400","",""
"MHT-ME-DF-Rectangular Eccentric Taper - Flanged-01","Duct Fittings","MHT-ME-DF-Rect-Tee-Flanged-DN3000","",""
"MHT-ME-FAM-Title Blocks","Title Blocks","MHT-ME-FAM-Mht-Me-Fam-Title-Blocks-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000061E4-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Notes-VL","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Notes-Vl-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X00000000000061E5-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Info-Key-Plan-Large1","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Info-Key-Plan-Large1-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X00000000000061E6-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-GridHead","Grid Heads","MHT-ME-FAM-Mht-Me-Fam-Gridhead-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000061E7-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Motorised 2-Way Valve Symbol","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Motorised-2-Way-Valve-Symbol-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X00000000000061E8-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Meter Symbol","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Meter-Symbol-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X00000000000061E9-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Pipe Break Symbol","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Pipe-Break-Symbol-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X00000000000061Ea-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-DIFFERENTIALPRESSUREGAUGE","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Differentialpressuregauge-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X00000000000061Eb-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-BYPASSVALVE","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Bypassvalve-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X00000000000061Ec-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Pressure Relief Valve Symbol","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Pressure-Relief-Valve-Symbol-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X00000000000061Ed-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Motorised 3-Way Valve Symbol","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Motorised-3-Way-Valve-Symbol-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X00000000000061Ee-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Tundish","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Tundish-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X00000000000061Ef-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Union","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Union-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X00000000000061F0-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Ballfloatvalve","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Ballfloatvalve-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X00000000000061F1-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Draincock","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Draincock-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X00000000000061F2-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-NC","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Nc-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X00000000000061F3-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Sensortemperature to BMS","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Sensortemperature-To-Bms-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X00000000000061F4-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-FlowmeterBMS","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Flowmeterbms-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X00000000000061F5-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Isolation Valve Symbol","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Isolation-Valve-Symbol-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X00000000000061F6-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Strainer Symbol","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Strainer-Symbol-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X00000000000061F7-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Check Valve Symbol","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Check-Valve-Symbol-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X00000000000061F8-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Automaticairvent","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Automaticairvent-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X00000000000061F9-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Flowarrow","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Flowarrow-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X00000000000061Fa-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-PRESSUREANDTEMPERATURETESTPOINT","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Pressureandtemperaturetestpoint-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X00000000000061Fb-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-A1H","Title Blocks","MHT-ME-FAM-Mht-Me-Fam-A1H-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000061Fc-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Sensor Symbol","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Sensor-Symbol-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X00000000000061Fd-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-STARTING VIEW1","Title Blocks","MHT-ME-FAM-Mht-Me-Fam-Starting-View1-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000061Fe-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Watertreatmentplant","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Watertreatmentplant-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X00000000000061Ff-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Chemicaltank","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Chemicaltank-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X0000000000006200-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Tundish Symbol","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Tundish-Symbol-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X0000000000006201-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-AHU","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Ahu-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X0000000000006202-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Pump","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Pump-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X0000000000006203-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Chiller","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Chiller-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X0000000000006204-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-EXPANSIONTANK","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Expansiontank-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X0000000000006205-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Fastfill-airventandreleifvaveassemblyunit","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Fastfill-Airventandreleifvaveassemblyunit-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X0000000000006206-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Hotwaterheater","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Hotwaterheater-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X0000000000006207-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-FCU","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Fcu-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X0000000000006208-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Coolingtower","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Coolingtower-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X0000000000006209-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Plateheatexchanger","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Plateheatexchanger-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X000000000000620A-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-MEQ-Equipment","Mechanical Equipment","MHT-ME-MEQ-Pump-UND","",""
"MHT-ME-MEQ-Gj WALKER","Mechanical Equipment","MHT-ME-MEQ-Mht-Me-Meq-Gj-Walker-Autodesk-Revit-Db-Familysymbol-Object-At-0X000000000000621D-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-MEQ-Celmec HP Series","Mechanical Equipment","MHT-ME-MEQ-Pump-DN2000-UND","",""
"MHT-ME-MEQ-Cooling-Tower-BAC-PT2-1-Cell-End-Outlet-RH","Mechanical Equipment","MHT-ME-MEQ-Pump-DN8-UND","",""
