Family,Category,SuggestedName,Conflict,ProblemReasons
"MHT-ME-FAM-Rectangular Mullion","Curtain Wall Mullions","MHT-ME-FAM-Mht-Me-Fam-Rectangular-Mullion","",""
"MHT-ME-FAM-Circular Mullion","Curtain Wall Mullions","MHT-ME-FAM-Mht-Me-Fam-Circular-Mullion","",""
"MHT-ME-FAM-System Panel","Curtain Panels","MHT-ME-FAM-Mht-Me-Fam-System-Panel-Autodesk-Revit-Db-Paneltype-Object-At-0X000000000000560F-Autodesk-Revit-Db-Paneltype","",""
"MHT-ME-FAM-Empty System Panel","Curtain Panels","MHT-ME-FAM-Mht-Me-Fam-Empty-System-Panel","",""
"MHT-ME-FAM-L Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-Mht-Me-Fam-L-Corner-Mullion","",""
"MHT-ME-FAM-V Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-Mht-Me-Fam-V-Corner-Mullion","",""
"MHT-ME-FAM-Trapezoid Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-Mht-Me-Fam-Trapezoid-Corner-Mullion","",""
"MHT-ME-FAM-Quad Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-Mht-Me-Fam-Quad-Corner-Mullion","",""
"MHT-ME-FAM-Section Head - No Arrow","Section Marks","MHT-ME-FAM-Mht-Me-Fam-Section-Head-No-Arrow-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005610-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Section Tail - Filled Horizontal","Section Marks","MHT-ME-FAM-Mht-Me-Fam-Section-Tail-Filled-Horizontal-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005611-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Spot Elevation - Target Filled","Spot Elevation Symbols","MHT-ME-FAM-Mht-Me-Fam-Spot-Elevation-Target-Filled-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005612-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Circular Handrail","Profiles","MHT-ME-FAM-Mht-Me-Fam-Circular-Handrail-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005613-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Rectangular Handrail","Profiles","MHT-ME-FAM-Mht-Me-Fam-Rectangular-Handrail-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005614-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Fascia-Flat","Profiles","MHT-ME-FAM-Mht-Me-Fam-Fascia-Flat-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005615-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Gutter - Bevel","Profiles","MHT-ME-FAM-Mht-Me-Fam-Gutter-Bevel-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005616-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Slab Edge-Thickened","Profiles","MHT-ME-FAM-Mht-Me-Fam-Slab-Edge-Thickened-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005617-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Baluster - Square","Balusters","MHT-ME-FAM-Mht-Me-Fam-Baluster-Square-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005618-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Elevation Mark Body-Circle-12mm","Elevation Marks","MHT-ME-FAM-Mht-Me-Fam-Elevation-Mark-Body-Circle-12Mm-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005619-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Elevation Mark Pointer-Circle-12mm","Elevation Marks","MHT-ME-FAM-Mht-Me-Fam-Elevation-Mark-Pointer-Circle-12Mm-Autodesk-Revit-Db-Familysymbol-Object-At-0X000000000000561A-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-DF-Union-Cir-ƒm","Duct Fittings","MHT-ME-DF-Mht-Me-Df-Union-Cir-M","","missing_shape;missing_fitting"
"MHT-ME-DF-Union-Oval-ƒm","Duct Fittings","MHT-ME-DF-Mht-Me-Df-Union-Oval-M","","missing_shape;missing_fitting"
"MHT-ME-DF-Union-Rect-ƒm","Duct Fittings","MHT-ME-DF-Mht-Me-Df-Union-Rect-M","","missing_shape;missing_fitting"
"MHT-ME-FAM-Tee - Soldered - CU","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Tee-Soldered-Cu-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005620-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Coupling - Soldered - CU","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Coupling-Soldered-Cu-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005621-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Reducer Straight - Soldered - CU","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Reducer-Straight-Soldered-Cu-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005622-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Coupling - Brazed - CU","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Coupling-Brazed-Cu-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005623-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-M-Channel Horizontal Bend","Cable Tray Fittings","MHT-ME-FAM-Mht-Me-Fam-M-Channel-Horizontal-Bend-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005624-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-M-Channel Horizontal Tee","Cable Tray Fittings","MHT-ME-FAM-Mht-Me-Fam-M-Channel-Horizontal-Tee-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005625-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Cable Tray Reducer","Cable Tray Fittings","MHT-ME-FAM-Mht-Me-Fam-Cable-Tray-Reducer-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005626-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Cable Tray Horizontal Cross","Cable Tray Fittings","MHT-ME-FAM-Mht-Me-Fam-Cable-Tray-Horizontal-Cross-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005627-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Cable Tray Union","Cable Tray Fittings","MHT-ME-FAM-Mht-Me-Fam-Cable-Tray-Union-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005628-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Cable Tray Vertical Inside Bend","Cable Tray Fittings","MHT-ME-FAM-Mht-Me-Fam-Cable-Tray-Vertical-Inside-Bend-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005629-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Cable Tray Vertical Outside Bend","Cable Tray Fittings","MHT-ME-FAM-Mht-Me-Fam-Cable-Tray-Vertical-Outside-Bend-Autodesk-Revit-Db-Familysymbol-Object-At-0X000000000000562A-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Victaulic-Grooved SSDI Coupling OGS-AGS-Face","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Victaulic-Grooved-Ssdi-Coupling-Ogs-Ags-Face-Autodesk-Revit-Db-Familysymbol-Object-At-0X000000000000562B-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Victaulic-Gasket Set","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Victaulic-Gasket-Set-Autodesk-Revit-Db-Familysymbol-Object-At-0X000000000000562C-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Victaulic-Flange Washer","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Victaulic-Flange-Washer-Autodesk-Revit-Db-Familysymbol-Object-At-0X000000000000562D-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Flange - Slip-on - Steel - Class 150","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Flange-Slip-On-Steel-Class-150-Autodesk-Revit-Db-Familysymbol-Object-At-0X000000000000562E-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Victaulic-IPS-SS-Cap No 460","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Victaulic-Ips-Ss-Cap-No-460-Autodesk-Revit-Db-Familysymbol-Object-At-0X000000000000562F-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-DF-Transition Round - Round-Length-ƒm","Duct Fittings","MHT-ME-DF-Mht-Me-Df-Transition-Round-Round-Length-M","","missing_shape;missing_fitting"
"MHT-ME-FAM-Pipe Break Symbol","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Pipe-Break-Symbol-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X0000000000005631-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-MEQ-Equipment Zone-Generic-ƒm","Mechanical Equipment","MHT-ME-MEQ-Mht-Me-Meq-Equipment-Zone-Generic-M-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005632-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-MEQ-Tank Buffer-Generic-ƒm","Mechanical Equipment","MHT-ME-MEQ-Mht-Me-Meq-Tank-Buffer-Generic-M-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005633-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-DF-Bend-Radius-Oval Segmented-ƒm","Duct Fittings","MHT-ME-DF-Mht-Me-Df-Bend-Radius-Oval-Segmented-M","","missing_shape;missing_fitting"
"MHT-ME-FAM-Victaulic-IPS-Concentric Reducer No 50","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Victaulic-Ips-Concentric-Reducer-No-50-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005636-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Victaulic-IPS-Cap No 1","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Victaulic-Ips-Cap-No-1-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005637-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Victaulic-Grooved Coupling OGS-AGS-Face1","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Victaulic-Grooved-Coupling-Ogs-Ags-Face1-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005638-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Victaulic-IPS-Cross-No 1","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Victaulic-Ips-Cross-No-1-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005639-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Copper Brazed-Stop End-BMA","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Copper-Brazed-Stop-End-Bma-Autodesk-Revit-Db-Familysymbol-Object-At-0X000000000000563A-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Victaulic-IPS-Elbow No 101","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Victaulic-Ips-Elbow-No-101-Autodesk-Revit-Db-Familysymbol-Object-At-0X000000000000563B-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Victaulic-IPS-Tee-Reducing Tee-No 201","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Victaulic-Ips-Tee-Reducing-Tee-No-201-Autodesk-Revit-Db-Familysymbol-Object-At-0X000000000000563C-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Victaulic-IPS-Rigid Coupling Style 07-07-107H","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Victaulic-Ips-Rigid-Coupling-Style-07-07-107H-Autodesk-Revit-Db-Familysymbol-Object-At-0X000000000000563D-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Coupling - Press-Fit - CU-BMA","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Coupling-Press-Fit-Cu-Bma-Autodesk-Revit-Db-Familysymbol-Object-At-0X000000000000563E-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-DF-Oval-ƒm","Duct Fittings","MHT-ME-DF-Mht-Me-Df-Oval-M","","missing_shape;missing_fitting;missing_size"
"MHT-ME-DF-Transition Rect-Oval-Length SJ-ƒm","Duct Fittings","MHT-ME-DF-Mht-Me-Df-Transition-Rect-Oval-Length-Sj-M","","missing_shape;missing_fitting"
"MHT-ME-DF-Transition Oval -Length SJ-ƒm","Duct Fittings","MHT-ME-DF-Mht-Me-Df-Transition-Oval-Length-Sj-M","","missing_shape;missing_fitting"
"MHT-ME-DF-Transition Oval-Round-Length SJ-ƒm","Duct Fittings","MHT-ME-DF-Mht-Me-Df-Transition-Oval-Round-Length-Sj-M","","missing_shape;missing_fitting"
"MHT-ME-FAM-Tee - Generic","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Tee-Generic-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005643-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Victaulic-Grooved Coupling OGS-AGS","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Victaulic-Grooved-Coupling-Ogs-Ags-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005644-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-ƒ-CalloutHead","Callout Heads","MHT-ME-FAM-Mht-Me-Fam-Callouthead-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005645-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-ƒ-GridHead","Grid Heads","MHT-ME-FAM-Mht-Me-Fam-Gridhead-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005646-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-ƒ-LevelHead","Level Heads","MHT-ME-FAM-Mht-Me-Fam-Levelhead-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005647-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-ƒ-SectionHead","Section Marks","MHT-ME-FAM-Mht-Me-Fam-Sectionhead-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005648-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-ƒ-SectionTail","Section Marks","MHT-ME-FAM-Mht-Me-Fam-Sectiontail-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005649-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-ƒ-ViewTitle","View Titles","MHT-ME-FAM-Mht-Me-Fam-Viewtitle-Autodesk-Revit-Db-Familysymbol-Object-At-0X000000000000564A-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-ƒ-ViewTitle-No Scale","View Titles","MHT-ME-FAM-Mht-Me-Fam-Viewtitle-No-Scale-Autodesk-Revit-Db-Familysymbol-Object-At-0X000000000000564B-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-DF-Square Oval Transformation Flanged-BMA","Duct Fittings","MHT-ME-DF-Mht-Me-Df-Square-Oval-Transformation-Flanged-Bma","","missing_shape;missing_fitting;missing_size"
"MHT-ME-DF-Sqaure Union-BMA","Duct Fittings","MHT-ME-DF-Mht-Me-Df-Sqaure-Union-Bma","","missing_shape;missing_fitting"
"MHT-ME-DF-Square Cap-BMA","Duct Fittings","MHT-ME-DF-Mht-Me-Df-Square-Cap-Bma","","missing_shape;missing_fitting;missing_size"
"MHT-ME-DF-Square Transition-BMA","Duct Fittings","MHT-ME-DF-Rect-Transition-DN850","",""
"MHT-ME-DF-Bend-Mitred-Rect-Adjust-ƒm","Duct Fittings","MHT-ME-DF-Rect-Elbow-Mitred-DN400","",""
"MHT-ME-FAM-ƒ View Reference","View Reference","MHT-ME-FAM-Mht-Me-Fam-View-Reference-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005651-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-DF-Spigot Damper-Generic-ƒm","Duct Fittings","MHT-ME-DF-Mht-Me-Df-Spigot-Damper-Generic-M","","missing_shape;missing_fitting"
"MHT-ME-DF-Square Step In-BMA","Duct Fittings","MHT-ME-DF-Square-Press-DN1200","",""
"MHT-ME-FAM-Attenuator-Round-BMA","Duct Accessories","MHT-ME-DF-Mht-Me-Fam-Attenuator-Round-Bma","","missing_shape;missing_fitting;missing_size"
"MHT-ME-FAM-Bend-uPVC-DWV-F&F-BMA","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Bend-Upvc-Dwv-F-F-Bma-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005655-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Reducer-Level Invert Taper-uPVC-DWV-BMA","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Reducer-Level-Invert-Taper-Upvc-Dwv-Bma-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005656-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-DF-Square Bend-BMA","Duct Fittings","MHT-ME-DF-Square-Elbow-DN900","",""
"MHT-PL-PACC-BUTTERFLY-VALVE-50-300-16","Pipe Accessories","MHT-PL-PACC-Mht-Pl-Pacc-Butterfly-Valve-50-300-16-Autodesk-Revit-Db-Familysymbol-Object-At-0X0000000000005658-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Elbow - Welded - SS","Pipe Fittings","MHT-ME-FAM-Mht-Me-Fam-Elbow-Welded-Ss-Autodesk-Revit-Db-Familysymbol-Object-At-0X000000000000565A-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-DF-Square Transition-BMA1","Duct Fittings","MHT-ME-DF-Square-Transition-DN950","",""
